Average RMSE,Parameters
62.01720082,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 1.0, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.02696007,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.1, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.0287915,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.01, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
61.86519041,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 1.0, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
61.87440168,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.1, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
61.87622211,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 5, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.01, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
62.01720082,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 1.0, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.02696007,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.1, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.0287915,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.01, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
61.86519041,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 1.0, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
61.87440168,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.1, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
61.87622211,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 10, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.01, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): True}"
62.01720082,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 1.0, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.02696007,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.1, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
62.0287915,"{Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='maxIter', doc='max number of iterations (>= 0).'): 20, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='regParam', doc='regularization parameter (>= 0).'): 0.01, Param(parent=u'LinearRegression_46de81b7025baee77f8e', name='fitIntercept', doc='whether to fit an intercept term.'): False}"
